gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000198105.13,ZNF248,1.670536384294399,4.929549878553155,0.09481328699012584,0.11484110099062017,2,2,,
ENSG00000115107.19,STEAP3,1.670154985330865,10.030519951276986,0.09488870358036071,0.027724687282816192,2,2,,
ENSG00000145982.11,FARS2,1.6700000000000002,16.040706970093662,0.0949193636058946,0.010838918026982098,1,2,,
ENSG00000186687.15,LYRM7,-1.67,-10.742829979183647,0.09491936360589466,0.024165486200213897,1,1,,
ENSG00000089902.9,RCOR1,1.67,5.874841027927589,0.09491936360589466,0.08080545944746016,1,2,,
ENSG00000272168.6,CASC15,1.669,28.36962159903646,0.09511737981188974,0.0034610317802900806,1,2,,
ENSG00000261019.1,RP11-111K18.2,1.6682125111877075,2.2300214887345984,0.09527354813804394,0.5596089503990337,2,2,,
ENSG00000163466.15,ARPC2,1.6681588971296009,16.166319771140508,0.09528418790081361,0.010647618996296232,2,2,,
ENSG00000197448.13,GSTK1,1.668,487.8735087297502,0.09531572678285176,1.1689007008127663e-05,1,1,,
ENSG00000157870.14,FAM213B,1.668,3.3070566079422044,0.09531572678285176,0.25439515435181753,1,2,,
ENSG00000105849.5,TWISTNB,1.668,11.15616936542455,0.09531572678285176,0.02235434220843408,1,1,,
ENSG00000113812.13,ACTR8,-1.667414285502074,-2.4217222264874856,0.09543205522426661,0.47406553241218186,2,2,,
ENSG00000112541.13,PDE10A,1.667,91.87670641066354,0.09551440487260991,0.00032920040676735936,1,1,,
ENSG00000164129.11,NPY5R,-1.667,-8.845236145926789,0.09551440487260991,0.03551831345830664,1,2,,
ENSG00000077254.14,USP33,1.666,21.266152024310003,0.09571341443492176,0.00613722670037992,1,2,,
ENSG00000171453.17,POLR1C,1.666,7.521402476947372,0.09571341443492176,0.04906280078323714,1,2,,
ENSG00000167914.11,GSDMA,-1.6659999999999997,-4.1947963188124096,0.09571341443492183,0.1577350608697023,1,2,,
ENSG00000185015.7,CA13,1.6659999999999997,9.613133041733068,0.09571341443492183,0.030034478015713226,1,1,,
ENSG00000126522.16,ASL,1.665,12.958952968243105,0.0959127558234713,0.01650777908499201,1,1,,
ENSG00000138795.9,LEF1,-1.665,-29.863411020771856,0.0959127558234713,0.0031084912725230025,1,1,,
ENSG00000271811.1,RP1-79C4.4,1.6646605276202804,1.8494874208913035,0.09598050222471279,0.8101185928045889,3,3,,
ENSG00000261462.1,CTA-254O6.1,1.664615624411321,7.050262216634011,0.09598946614753961,0.05574647279918876,3,3,,
ENSG00000173432.10,SAA1,-1.664,-941.9597093351375,0.09611242939186801,3.120627920841339e-06,1,1,,
ENSG00000101457.12,DNTTIP1,-1.664,-10.064665284427512,0.09611242939186801,0.02733430092041413,1,1,,
ENSG00000172572.6,PDE3A,1.664,44.15215108333365,0.09611242939186801,0.0014203746399056427,1,1,,
ENSG00000179111.8,HES7,-1.664,-177.45610324716674,0.09611242939186801,8.79275075724383e-05,1,1,,
ENSG00000138095.18,LRPPRC,-1.6631111431896006,-4.522799188118219,0.09629018974101176,0.13521595374086792,2,2,,
ENSG00000126456.15,IRF3,1.663,29.09247040587331,0.0963124354936459,0.003267557931240708,1,1,,
ENSG00000136717.14,BIN1,-1.663,-13.971935795223672,0.0963124354936459,0.014166786074678172,1,2,,
ENSG00000196361.9,ELAVL3,1.662,1028.3632424747482,0.09651277448226203,2.6119745978765675e-06,1,2,,
ENSG00000137714.2,FDX1,1.6608914950580087,13.73013126450512,0.0967352406953556,0.014632992294649679,2,2,,
ENSG00000130517.13,PGPEP1,1.6607800181497336,4.75433231972444,0.09675763571085697,0.12202397045118471,2,2,,
ENSG00000197013.9,ZNF429,1.66,6.877429854003556,0.09691445253344565,0.058259108823925564,1,2,,
ENSG00000180509.11,KCNE1,1.66,91.02266360853456,0.09691445253344565,0.0003325960565974103,1,1,,
ENSG00000137766.16,UNC13C,1.659836405632205,309.1530663821643,0.09694736772913473,2.882593843536144e-05,2,2,,
ENSG00000162222.13,TTC9C,-1.659,-8.041549291869119,0.0971157923025323,0.04256114620407239,1,1,,
ENSG00000160188.9,RSPH1,-1.6583855334317876,-5.033246551142311,0.09723967465569086,0.10856118919704481,2,2,,
ENSG00000165828.14,PRAP1,-1.657,-50.577475120068776,0.09751947509338306,0.0010733237185402537,1,1,,
ENSG00000151365.2,THRSP,-1.657,-353.00449203211133,0.09751947509338306,2.203355393992834e-05,1,1,,
ENSG00000165810.16,BTNL9,-1.6567605541227024,-17.17303474812493,0.09756789494730084,0.009307336041197713,2,2,,
ENSG00000100664.10,EIF5,-1.656,-53.07237664622102,0.09772181882117294,0.0009736067860889044,1,1,,
ENSG00000104983.8,CCDC61,-1.656,-10.988744495241468,0.09772181882117294,0.02271038589873871,1,1,,
ENSG00000114650.18,SCAP,-1.6550855955649797,-4.643378696074594,0.09790713634392002,0.1270494264883827,2,2,,
ENSG00000100373.9,UPK3A,1.6549999999999998,5.156960893349703,0.09792449790774853,0.10299314503886318,1,1,,
ENSG00000178971.13,CTC1,1.6549946949098724,6.481602285492969,0.09792557403347216,0.0651971263443068,2,2,,
ENSG00000239454.1,LINC02047,1.6545523321746847,5.774360636425044,0.09801533957565481,0.08210190004176865,2,2,,
ENSG00000010310.8,GIPR,1.6544354716538787,9.44924290628571,0.09803906422836829,0.030655304848520352,2,2,,
ENSG00000265519.1,CTD-3157E16.1,1.654,3.43718567193289,0.09812751270590916,0.23156079127322507,1,1,,
ENSG00000272265.1,CTD-2287O16.4,1.654,4.404349547561649,0.09812751270590916,0.14102868364821686,1,1,,
ENSG00000243811.8,APOBEC3D,-1.6538269389926765,-6.0086869962015514,0.09816268075390755,0.0757566847458673,2,2,,
ENSG00000152467.9,ZSCAN1,-1.6534675116038138,-5.555660856126287,0.09823575282741899,0.08857677808798461,2,2,,
ENSG00000013725.14,CD6,1.653,3.6883882856867345,0.09833086356836647,0.20085027887530396,1,1,,
ENSG00000205863.10,C1QTNF9B,-1.653,-8.552218494339058,0.09833086356836647,0.03735838827476384,1,1,,
ENSG00000253276.2,CCDC71L,1.652,7.3581166280306896,0.09853455084774342,0.050406524196946974,1,1,,
ENSG00000232388.4,LINC00493,-1.6518674255971393,-4.541261006485413,0.09856157984255547,0.13231145681368217,2,3,,
ENSG00000132330.16,SCLY,1.6516920774422077,4.263184174527857,0.09859733855449718,0.15010321043741337,2,2,,
ENSG00000126266.3,FFAR1,-1.6510129441926753,-3.091064080890238,0.09873593181709178,0.28528894262772053,3,3,,
ENSG00000164035.9,EMCN,1.651,156.40781694493026,0.09873857489657274,0.00011142361325214144,1,1,,
ENSG00000149187.17,CELF1,1.650879253329697,60.9645117553061,0.0987632329248933,0.0007332911092994087,2,2,,
ENSG00000171861.10,MRM3,1.650345936798842,10.775878994195075,0.09887220185674497,0.023455492952064064,2,2,,
ENSG00000104883.7,PEX11G,1.65,47.86675431807796,0.0989429360672962,0.0011882283979197587,1,1,,
ENSG00000163673.7,DCLK3,1.65,280.6438852452953,0.0989429360672962,3.4566604466830547e-05,1,1,,
ENSG00000276855.1,CTD-3157E16.2,1.6499999999999997,3.879934720453022,0.0989429360672962,0.18085022401410283,1,1,,
ENSG00000128641.18,MYO1B,-1.648,-58.06238847404028,0.09935267118372836,0.0008056095770081097,1,1,,
ENSG00000204237.4,OXLD1,1.648,6.145798099325858,0.09935267118372836,0.07190479246589232,1,2,,
ENSG00000187955.11,COL14A1,-1.647,-17.528397751454204,0.09955804583385329,0.008828821962262163,1,1,,
ENSG00000143110.11,C1orf162,1.647,14.897554710459708,0.09955804583385329,0.012222420477248188,1,1,,
ENSG00000137857.17,DUOX1,1.646,2.951725995627136,0.09976375901470234,0.3109621866493507,1,2,,
ENSG00000138709.17,LARP1B,1.646,88.39657056736603,0.09976375901470234,0.0003467279316149525,1,2,,
ENSG00000277587.1,CTD-3116E22.8,1.6446163033859702,1.5414681156541312,0.1000489625913076,1.1383087921681625,2,2,,
ENSG00000204628.11,RACK1,-1.643802189562157,-59.381598085314565,0.10021706894893759,0.0007662938618230796,2,2,,
ENSG00000121039.9,RDH10,1.6430000000000002,122.09976945808658,0.10038293326077313,0.00018106955697522404,1,1,,
ENSG00000204370.9,SDHD,-1.6429999999999998,-61.48590777648093,0.10038293326077319,0.0007140423131191363,1,1,,
ENSG00000011260.13,UTP18,1.6423187151170628,2.5949445988904065,0.10052397055404422,0.40055181442926685,2,2,,
ENSG00000138399.17,FASTKD1,1.6422502691493979,2.5225696064685454,0.10053814873331905,0.42383065553814825,2,2,,
ENSG00000145014.17,TMEM44,1.642,13.525200353905284,0.10059000408320043,0.014738690229970269,1,1,,
ENSG00000136867.10,SLC31A2,1.6418724974285346,26.965951421739536,0.10061643059811183,0.003707211474818139,2,2,,
ENSG00000100056.11,DGCR14,1.641,3.9911528691546323,0.10079741519519093,0.16905204829576884,1,2,,
ENSG00000131944.9,FAAP24,-1.640801031622548,-2.483817167878252,0.10083872406753272,0.43638779106934555,2,2,,
ENSG00000101197.12,BIRC7,-1.6407155519546368,-2.4451067751378304,0.10085647509335915,0.4502678424317158,2,2,,
ENSG00000270170.1,NCBP2-AS2,-1.64,-22.877910538176486,0.10100516694820742,0.005138720318695676,1,1,,
ENSG00000126773.12,PCNX4,-1.64,-40.513247776018254,0.10100516694820742,0.0016386778214478757,1,2,,
ENSG00000271538.5,RP11-326I11.4,1.64,2.941179097276172,0.10100516694820742,0.31091720465567185,1,3,,
ENSG00000134321.11,RSAD2,-1.64,-35.8993087062725,0.10100516694820742,0.0020869667254023107,1,1,,
ENSG00000163207.6,IVL,-1.6398770531654518,-38.14039795814714,0.10103073290069743,0.0018486391121740615,2,2,,
ENSG00000196376.10,SLC35F1,-1.6386940201762326,-67.42806310142707,0.10127700005999166,0.000590628458170421,2,2,,
ENSG00000167770.11,OTUB1,1.638,1740.6532865588936,0.10142169378264408,8.85529933068088e-07,1,1,,
ENSG00000071462.11,WBSCR22,1.6372965475894135,4.035049714120984,0.10156852195026848,0.1646481716611951,2,3,,
ENSG00000121073.13,SLC35B1,-1.6363570867305393,-52.7477095486434,0.10176487490923146,0.0009623852343054586,2,2,,
ENSG00000178209.14,PLEC,1.6360000000000001,9.881257049277664,0.10183958739609633,0.027412093498931218,1,1,,
ENSG00000198001.13,IRAK4,1.636,70.5449813640749,0.10183958739609637,0.0005378167853774411,1,1,,
ENSG00000232237.3,ASCL5,1.636,27.36253829026911,0.10183958739609637,0.0035748171604453177,1,1,,
ENSG00000162378.12,ZYG11B,1.636,13.900327747174115,0.10183958739609637,0.013852128702562909,1,2,,
ENSG00000260271.1,RP1-45N11.1,1.6353817866374303,17.68133677008224,0.10196903807743832,0.008554765733724698,2,2,,
ENSG00000240050.5,RP1-93H18.1,1.635,12.26219404197866,0.1020490476224763,0.017778664947162372,1,1,,
ENSG00000145545.11,SRD5A1,1.6346766100588508,12.943604933128,0.10211685827883804,0.01594972499354349,2,2,,
ENSG00000187486.5,KCNJ11,-1.634,-18.81207198497712,0.1022588505964176,0.007544506561031197,1,1,,
ENSG00000143486.15,EIF2D,1.634,9.527989305569003,0.1022588505964176,0.02941044409523216,1,1,,
ENSG00000096433.10,ITPR3,1.634,26.174263307253526,0.1022588505964176,0.0038972222233273216,1,1,,
ENSG00000137860.11,SLC28A2,-1.6331409684015983,-3.747641558811254,0.10243935192560073,0.18990275021481517,2,2,,
ENSG00000140527.14,WDR93,-1.633,-9.71968540046748,0.10246899666862462,0.02822720991885578,1,2,,
ENSG00000007516.13,BAIAP3,1.6323698479201503,3.4351905644648966,0.10260159703374461,0.22580599081649805,3,3,,
ENSG00000100583.4,SAMD15,1.6322416167888976,7.833790021617025,0.10262859690222911,0.04341352403724933,2,2,,
ENSG00000226519.1,LINC00390,-1.6319999999999997,-72.05288845540258,0.10267948618968871,0.0005130238054970912,1,1,,
