gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000100564.8,PIGH,0.17634308902819304,0.49670598175723785,0.8600244122565255,0.12604281903433603,2,2,,
ENSG00000110880.10,CORO1C,0.1763383674983469,1.2048094317901763,0.8600281213722097,0.021421847056737192,1,1,,
ENSG00000256223.5,ZNF10,0.1761281386938801,1.0678836531893268,0.8601932749884827,0.027202549798909775,2,2,,
ENSG00000063761.15,ADCK1,0.17603981891816142,0.6041044234356647,0.8602626599330114,0.08491761631224871,2,2,,
ENSG00000137338.5,PGBD1,0.1758545472956721,0.5814467713522308,0.8604082147723545,0.09147181134661962,1,2,,
ENSG00000103269.13,RHBDL1,-0.1758066834789761,-12.475642188340027,0.8604458187664615,0.00019858431435778196,1,1,,
ENSG00000171522.5,PTGER4,0.1757899639254148,10.261185510310455,0.860458954483722,0.0002934898427759665,1,1,,
ENSG00000008988.9,RPS20,-0.1756836663403377,-0.8769103597623544,0.8605424680843109,0.04013768965172045,1,2,,
ENSG00000124160.11,NCOA5,-0.1756836663403377,-5.938365440441158,0.8605424680843109,0.0008752435765296608,1,1,,
ENSG00000276772.1,CTD-2515H24.2,0.1755615853540714,16.531286957680415,0.860638383972216,0.00011278352356787255,1,1,,
ENSG00000266733.5,TBC1D29,-0.17544450558245037,-0.7197636783213418,0.8607303724657107,0.05941549094051028,2,2,,
ENSG00000189046.10,ALKBH2,0.1750687281075254,1.1893400951422533,0.8610256301103892,0.021667311794844286,2,2,,
ENSG00000151748.14,SAV1,-0.17498752940349746,-1.2151216747401923,0.8610894324914882,0.020738372154059888,2,3,,
ENSG00000142615.7,CELA2A,0.1749758700702339,3.5714809672201935,0.8610985939587521,0.00240026749206668,2,2,,
ENSG00000065534.18,MYLK,0.1749147520998261,4.795477189680097,0.8611466184758747,0.0013304213900078405,1,1,,
ENSG00000187260.15,WDR86,0.17463267805529126,0.5679496195036718,0.8613682697532373,0.09454344046949617,2,2,,
ENSG00000116741.7,RGS2,-0.1745495495659408,-3.7298360260548513,0.8614335934651979,0.002190069948629203,1,2,,
ENSG00000176396.10,EID2,-0.17454954956594076,-6.511741162839091,0.861433593465198,0.0007185271886328269,1,1,,
ENSG00000166401.14,SERPINB8,-0.1744459706039438,-6.374288439468662,0.8615149888157182,0.000748959720488855,1,1,,
ENSG00000128594.7,LRRC4,0.1743221055829059,88.54964154157483,0.861612327470358,3.875531855972885e-06,1,1,,
ENSG00000254827.5,SLC22A18AS,-0.17430438293812087,-0.5169052962894484,0.8616262548865028,0.11370895055753201,2,2,,
ENSG00000198042.10,MAK16,-0.17370194919219722,-0.3644991156073038,0.8620997055803005,0.22709962964228228,2,2,,
ENSG00000215251.3,FASTKD5,-0.17351043127157756,-0.6680925392091156,0.8622502292695917,0.06744937577396427,2,2,,
ENSG00000133872.13,SARAF,-0.1733221056715828,-2.268747739607606,0.8623982488291927,0.005836271593941329,1,2,,
ENSG00000168566.12,SNRNP48,-0.1732207642160171,-2.0596259425625294,0.8624779028658482,0.007073318167177373,1,1,,
ENSG00000119638.12,NEK9,-0.17313465558691293,-3.715755851670108,0.862545585051978,0.0021710692382712967,2,2,,
ENSG00000164830.18,OXR1,-0.17296060686766673,-1627.0920532519895,0.8626823920502016,1.129978428720626e-08,1,1,,
ENSG00000270659.1,RP11-105N14.1,-0.1729606068676667,-0.5557321384595257,0.8626823920502016,0.09686421753145036,1,2,,
ENSG00000183726.10,TMEM50A,0.1729606068676667,0.5071646044060094,0.8626823920502016,0.11630450273662582,1,1,,
ENSG00000188672.17,RHCE,0.1729606068676667,0.2561153414460308,0.8626823920502016,0.4560612921610544,1,2,,
ENSG00000138073.13,PREB,0.1729213405172497,17.297464688683743,0.8627132570326047,9.993837460377461e-05,1,1,,
ENSG00000258413.1,RP11-665C16.6,0.1727186313219023,0.4290749523733486,0.8628725982124776,0.1620362000170452,1,2,,
ENSG00000179348.11,GATA2,-0.1727186313219023,-3.9199278171736167,0.8628725982124776,0.0019414322338369477,1,1,,
ENSG00000269720.2,CTD-2521M24.13,0.17256095860714707,6.722238224227416,0.8629965419652482,0.0006589573269978145,1,1,,
ENSG00000245937.7,LINC01184,0.1725432329042633,0.6578164588206477,0.8630104760399964,0.06879967570111,1,2,,
ENSG00000102468.10,HTR2A,0.1715390982822814,20.30871272953127,0.8637998900432328,7.134465672956194e-05,1,1,,
ENSG00000284526.1,RP11-666A8.13,0.1712231856943893,1.7127829802533516,0.8640482771516249,0.009993565622169813,1,1,,
ENSG00000177875.4,CCDC184,0.17113801473574952,1.3636414373969439,0.8641152453437867,0.015750436706489134,2,2,,
ENSG00000185513.14,L3MBTL1,-0.1710973545586391,-1.1552518157083171,0.8641472159581696,0.02193477934089924,1,1,,
ENSG00000176597.11,B3GNT5,-0.1710973545586391,-87.86556107714479,0.8641472159581696,3.7918331246335943e-06,1,1,,
ENSG00000156453.13,PCDH1,-0.17103987442428611,-927.1288056152156,0.8641924122846232,3.403412492588375e-08,1,1,,
ENSG00000108187.15,PBLD,0.17061780779069502,0.34560116886346237,0.8645242946532433,0.2437240071099976,2,2,,
ENSG00000163430.11,FSTL1,0.1706123065496839,1.628283431289201,0.8645286205852224,0.010978947321477413,1,1,,
ENSG00000168158.3,OR2C1,-0.17061230654968393,-3.6833630962749444,0.8645286205852224,0.00214551543653509,1,1,,
ENSG00000144119.3,C1QL2,0.17058251434853314,13.871112213924448,0.864552047921605,0.00015123296015248782,1,1,,
ENSG00000166483.10,WEE1,-0.1705825143485331,-2092.9957371641476,0.8645520479216051,6.642511813172249e-09,1,1,,
ENSG00000137834.14,SMAD6,-0.1704094243336721,-4.633692865957671,0.8646881609980408,0.001352485850761837,1,1,,
ENSG00000198879.11,SFMBT2,0.170280967218944,1.4933846316456019,0.8647891786238859,0.013001362319859685,1,1,,
ENSG00000093144.18,ECHDC1,-0.1701993738521801,-0.9893898918912771,0.8648533441287102,0.029592453774623453,1,2,,
ENSG00000135643.4,KCNMB4,0.1700409795166555,65.48281090903606,0.8649779089118712,6.742990826478334e-06,1,1,,
ENSG00000175390.13,EIF3F,-0.16998310879018688,-0.5535410790469961,0.8650234205587521,0.09430002837403176,2,2,,
ENSG00000112592.13,TBP,-0.1698370261631477,-110.6317547823397,0.8651383072479415,2.3567046109106686e-06,1,1,,
ENSG00000171812.12,COL8A2,-0.1690690759333615,-0.3848076291655892,0.8657423085667045,0.19303720042744185,1,1,,
ENSG00000273172.1,LINC02091,0.1687928814009759,0.5285482919353035,0.8659595578035658,0.10198561202209197,1,1,,
ENSG00000109158.10,GABRA4,0.1686120680042801,14.840330055111085,0.866101787584524,0.00012908928344111117,1,1,,
ENSG00000196605.7,ZNF846,0.1683015300527726,0.5160637648111402,0.8663460702250851,0.10635781232909705,1,3,,
ENSG00000182366.9,FAM87A,0.1681739243150012,0.5383312098846662,0.8664464541432746,0.0975928945793568,1,1,,
ENSG00000100462.15,PRMT5,0.1680819354186966,1.6259372695225864,0.866518820609907,0.010686475843763246,1,2,,
ENSG00000185842.15,DNAH14,-0.1680765739179239,-0.69599484206744,0.866523038467249,0.05831796103388208,1,1,,
ENSG00000157833.12,GAREM2,-0.167926120026225,-6.575930256828061,0.8666414011022576,0.0006521118771280174,1,1,,
ENSG00000162849.15,KIF26B,0.1678238465716895,8.382370683100987,0.8667218617160274,0.0004008423667038666,1,1,,
